,Number of Users,Number of months in operation,Company Type,Number of Founders,Revenue,Monthly User Growth,Customer Retention Rate,Profit Margin,Customer Aquisition Cost,Monthly Unit Churn,Monthly Burn Rate,Major Rival,Number of News Articles,Number of Founded Organizations,Number of Portfolio Companies,Number of Investments_x,Number of Partner Investments,Number of Lead Investments_x,Number of Exits_x,Number of Events_x,Success
48,884,7,1,3,13311.601186174268,61.98627625933577,62.23077250036992,9.210020021023077,0.7819364180993116,3.7684241569506387,2.959662450000435,1.0,884,2,4,5,0,0,3,5,1
49,294,7,1,3,11786.51799589171,35.7303170364546,81.48504189920979,-2.0796191625217597,4.692234940733396,3.782486154160273,6.387999834005378,0.0,294,1,3,3,0,0,1,3,1
50,217,7,1,3,12199.754332854107,45.25482793432811,30.83070636463831,-4.2891372949203,9.02193810019921,8.759679633885925,2.4868519827029694,0.0,217,1,3,3,0,0,0,7,1
51,368,7,1,3,62896.87162691468,61.29336380374409,54.69931982721633,-3.4362146584459836,9.731279580703847,15.720151095806521,4.332489121732328,0.0,368,6,19,19,0,0,4,3,0
52,7,7,1,3,6664.941988616494,64.54478435655564,69.73687920630906,16.183692698574387,2.8767442715597924,6.151327868173306,4.994011409569768,1.0,7,5,1,2,0,0,0,0,1
53,83,-1,1,1,44383.793929206775,49.13408880059333,50.487627771434596,11.863686834010007,14.085737250939804,10.802457587358283,1.4477561976807474,0.0,83,2,0,0,0,0,0,4,0
54,199,-1,1,2,89431.3517914108,23.57625807506053,52.01756178066464,3.327303695201092,3.1693883695426277,11.59461040122267,9.967072647688214,0.0,199,5,10,12,0,0,1,5,0
55,0,-1,1,2,46695.069847679064,31.987822384735537,51.00888419672834,11.55552494187694,10.752039614382099,8.108026808126176,1.384694366808965,1.0,0,1,1,1,0,0,0,1,0
56,1914,10,0,2,10736.439347413485,107.25060558783615,35.25902929329359,27.23867159437205,1.6162846604248493,7.224261290042314,3.3119874329933086,1.0,1914,1,27,32,0,0,3,23,1
57,156,10,0,2,14060.819573801671,33.655042490598504,78.33771477518613,9.51157703700218,6.631409308308691,6.510241994001589,4.599893724741786,0.0,156,1,4,5,0,0,1,0,1
58,21,10,0,2,10676.057210846106,43.43421473883278,64.87628559890592,25.975569154590758,1.6233269959379348,6.209888787887834,7.784502923557544,1.0,21,1,0,0,0,0,0,2,1
59,567,8,1,3,5855.186145034182,100.24627188918524,56.41695754751156,-5.363959086500101,6.876134101775467,2.8355084255866894,3.308136045257173,0.0,567,2,0,0,0,0,0,6,1
60,232,8,1,3,11321.444750911207,62.76540289964188,43.92387685858669,7.901640522711798,8.156928204907594,5.169994633962421,7.0568664276345565,1.0,232,2,0,0,0,0,0,3,1
61,190,1,1,2,42102.73092761046,25.179401040598915,14.43711766047751,-7.279354497294515,4.728292592926959,16.181816387629254,2.3176750189942372,1.0,190,1,1,1,0,0,0,8,0
62,5,1,1,2,54905.650658033745,48.44202223218195,59.920317970796624,3.775719510446642,4.014804646878652,11.133099168814496,9.152143038772037,0.0,5,2,0,0,0,0,0,0,0
63,201,5,1,2,10576.69029661333,88.56589898620126,35.24160887354537,0.16441547425655045,4.993645458463973,8.084817146581456,4.2007873940568015,0.0,201,1,4,4,0,0,0,3,1
64,106,5,1,2,11598.079076102546,148.32512535610184,51.584845166394715,1.3828721659189114,2.844819596856584,6.048762860148537,7.481810195655567,1.0,106,1,2,2,0,0,0,1,1
65,329,4,1,3,7287.7822490844,197.66366105600056,59.84505779886178,14.114418944497412,2.6975112578091953,7.4590136713877655,7.712623795435219,0.0,329,2,0,0,0,0,0,8,1
66,279,6,1,2,6690.964895889481,145.66980210444783,83.92631897034286,27.738997079760793,1.872250789954819,3.041784554659963,6.52913666739685,0.0,279,1,19,20,0,0,4,2,1
67,67,5,1,3,14921.437706470375,171.68670219259016,44.49419803726532,29.054512122061823,0.7146458742582518,4.094878592377632,6.9410250130578195,0.0,67,2,0,0,0,0,0,2,1
68,19,5,1,3,7886.753122979948,64.76070621448008,59.65361234585851,17.954716998358716,5.893063272264931,7.755323785750395,4.584457608471124,1.0,19,2,0,0,0,0,0,1,1
69,107,0,1,2,5021.030109898871,157.82757697144794,60.17495045709857,15.847077601864939,9.296688963458303,6.134426324200504,1.645698198066624,0.0,107,1,0,0,0,0,0,4,1
70,0,0,1,2,14895.051259899927,74.66993655483594,45.18525971032321,16.708834087778747,4.940929328492199,4.241505932727058,5.123032175848775,0.0,0,1,0,0,0,0,0,0,1
71,1,3,1,2,98367.133758063,24.899247837994388,41.28771096176562,-5.151220762018308,11.357125680333759,13.000405834287314,8.568604815647229,1.0,1,1,0,0,0,0,0,0,0
72,62,-1,1,1,15120.445669493865,46.33521038937865,11.413127020918859,-3.61664283290607,13.848757941990474,14.081564130250701,10.631586900000524,0.0,62,3,8,8,1,1,0,7,0
73,289,2,1,2,41753.05702106493,58.060110925781984,53.90089034385928,20.735623150396513,2.537891161902128,3.2942460177752975,3.0489852174202743,1.0,289,2,0,0,0,0,0,0,0
74,10,1,1,4,7952.126933529378,27.98534896663854,68.54340845343516,28.714697076065228,8.60537127599583,8.49203139984725,1.0512263994272244,0.0,10,2,0,0,0,0,0,22,1
75,10,4,1,3,8140.72688639345,87.19059366254407,39.83236256717355,2.073894766746145,6.42576879776043,8.876676843255503,7.319019764850152,0.0,10,2,0,0,0,0,0,22,1
76,4,1,1,4,10487.897450527838,152.95038620421462,34.304162439011,28.618370246343304,5.678373825914338,6.174441129247863,3.643281074860866,0.0,4,1,0,0,0,0,0,0,1
77,4,4,1,3,7886.086034470571,66.1338532989624,87.53063448656184,1.5594568658345906,0.057764656872894005,3.1111432904345517,1.728394962706476,0.0,4,1,0,0,0,0,0,0,1
78,8,1,1,4,12585.189165815455,87.73892427564266,45.6019871588711,21.019773333309097,9.959541518564555,5.846985705735827,5.907191059810096,0.0,8,1,0,0,0,0,0,1,1
79,8,4,1,3,8810.948730154378,99.95190137215297,73.6501524775317,8.700667469779269,4.296380418957099,8.20822365224205,5.756293531459713,0.0,8,1,0,0,0,0,0,1,1
80,13,1,1,4,14235.384071563147,20.30812198728949,31.284659971911232,26.744056531416938,4.250964497748592,5.134095419160609,7.788270185656251,0.0,13,1,0,0,0,0,0,0,1
81,13,4,1,3,11895.574595563248,138.555796336142,34.01260252209468,25.352242158647094,4.5139429714558075,7.956380433301286,5.787568868875155,0.0,13,1,0,0,0,0,0,0,1
82,479,2,0,2,90814.4046198847,13.866277260491108,14.47675227822783,22.632393133408023,1.4754054667179166,10.062302894372955,7.737775852146761,1.0,479,2,4,4,0,0,1,0,0
83,48,5,1,2,25569.39034837774,27.072697656513185,12.776519884864063,-16.992768241313964,2.543923322626647,3.5314100904695307,2.2546396553201573,1.0,48,4,8,9,0,0,0,3,0
84,252,5,1,2,12723.191991965175,107.67145441177442,35.18333101545611,2.032476479054388,3.0498609994307033,5.521863909456293,4.574980876777647,1.0,252,1,11,15,0,0,2,15,1
85,88,5,1,2,6188.480120687618,159.92226153122635,80.2393936800116,26.66022265259282,4.06889459660563,4.568377483916503,6.8526045071160935,1.0,88,2,0,0,0,0,0,2,1
86,447,8,1,3,7282.116702755322,111.77759725414641,76.39284498805657,-6.020947033282327,7.707457695088103,8.252012654954676,5.372061331151816,1.0,447,3,1,1,0,0,0,5,1
87,17,8,1,3,10894.437982120202,135.21264779807083,30.23384295776104,11.464760650204472,8.776495832389518,7.373190379443263,3.852352901032088,0.0,17,2,0,0,0,0,0,2,1
88,263,6,1,2,6221.266978173706,144.57075927136196,73.55475401392172,28.357956851343616,4.9762235213249975,7.2933463174306095,3.4324368840645296,1.0,263,1,1,1,0,1,0,1,1
89,717,6,1,2,14497.66183891228,161.72601240548107,37.72740903829601,-0.9884055488313628,4.46538218741738,7.866731991580756,5.393141229137436,0.0,717,1,0,0,0,0,0,5,1
90,1094,22,1,2,12593.071234974846,77.58641099315089,47.655229449571785,17.834887177926216,2.2042745025223476,3.01989450820182,1.3512374761283654,0.0,1094,1,0,0,0,0,0,4,1
91,3,22,1,2,6729.941806230224,157.87743202504618,83.86575246923215,21.836663116708618,3.9607006196082883,6.058001708888117,1.3708610889231734,0.0,3,1,0,0,0,0,0,0,1
92,200,5,1,2,10507.456188222533,94.44849458621276,87.88652050351281,-5.961790696170062,1.7749789936055294,6.386564115144536,4.978345234865983,0.0,200,1,8,8,0,0,1,14,1
93,271,5,1,2,6898.9808987758115,54.89133036730625,67.44951191409206,18.76023546049469,4.679384380645746,6.233350684694268,6.616671504720396,0.0,271,2,8,8,1,0,2,10,1
94,132,0,1,3,99318.49856417777,1.7574017796814778,55.109173512610404,13.419125455926014,9.626037757581598,6.861615811292898,9.397373675220575,0.0,132,1,0,0,0,0,0,0,0
95,0,0,1,3,22469.845266881894,36.64750561514999,40.97200214560518,-11.400079874431107,5.201582791046953,19.774164586771708,2.8359870144828037,0.0,0,1,0,0,0,0,0,0,0
96,0,0,1,3,19507.25650945,11.173151370180594,31.77124106435049,16.03237211335327,14.355991595665964,7.015804468586231,2.944115512444058,1.0,0,1,0,0,0,0,0,0,0
97,46,2,1,1,13872.644605242174,35.25136212204676,50.3195716990603,-5.354369032796669,4.601460869320226,7.5660748414663175,1.927800141784691,0.0,46,2,12,14,0,0,1,0,1
98,185,1,1,3,59487.75227434035,51.28468384019636,30.966188685980335,-10.663935778207977,6.460187031487178,16.99653564226486,1.2185737373549572,0.0,185,2,0,0,0,0,0,0,0
99,67,1,1,3,9249.161888422497,69.8494791115278,26.019368844674148,0.5824532096069532,2.9929822133479274,18.594342854956356,2.014394172168048,1.0,67,1,0,0,0,0,0,0,0
100,68,1,1,3,11361.495233464491,19.086381431903913,10.058488845499545,-19.890487752440748,6.23003546031401,5.036055142628914,6.156923384344219,1.0,68,1,0,0,0,0,0,0,0
101,32,8,1,4,8171.070771209561,57.542508000656525,42.62961121776961,5.0995232940557855,2.235760393570285,6.572832571968827,3.2990993943452827,0.0,32,1,31,33,0,0,4,0,1
102,1304,8,1,4,7579.358484071648,22.225267597833202,60.949888890900475,28.324532108318607,0.8550169615274872,8.23448377753376,5.396977425909781,1.0,1304,4,39,42,0,2,13,2,1
103,16,8,1,4,8643.42358027272,30.51079625401821,80.45637455843705,-3.3639445111615807,2.275274872493527,7.7446377437959795,3.9786787305927613,0.0,16,2,2,3,0,1,0,0,1
104,17,2,1,2,13903.034619490727,98.0249678059588,62.84129784951476,13.223185303986455,7.335744575873852,8.240298844330702,1.7501133042874109,0.0,17,3,3,3,0,0,0,0,1
105,9,2,1,2,8354.494417622092,83.79436173480474,50.12806609901458,29.270134777113533,2.266423376653001,7.894509850064325,6.076829620269805,0.0,9,1,1,1,0,0,0,1,1
106,760,10,1,1,5892.794105561243,122.12269402407183,53.108531823073605,4.046128583155152,3.1192465140644865,5.7866362379095,2.7655676671396736,1.0,760,4,36,39,0,1,14,6,1
107,263,8,0,2,10540.182447342191,25.434086449554762,62.16224974302855,0.9314573181870642,6.03896581641801,6.665860723526736,6.0110636669689805,0.0,263,3,16,17,0,0,3,3,1
108,28,4,1,2,12987.387578595506,103.33358120289783,37.953453781106546,-0.756904539376464,2.5605752916741045,7.692327018085006,6.655277320157646,0.0,28,1,1,2,0,0,0,1,1
109,1,4,1,2,14999.97292471712,51.71837593237724,72.09801364555139,-5.32563986359158,1.887899286556688,8.841070763187906,7.238312382783959,0.0,1,1,0,0,0,0,0,0,1
110,0,0,1,3,66100.0937387057,50.2250011857384,42.63719065929501,-7.473745669446206,1.4310971184493066,15.881517852894358,8.395744243775237,1.0,0,2,0,0,0,0,0,0,0
111,70,6,1,2,7041.634517821285,65.33397036452232,80.98427232218633,28.427054507348906,7.269112612395553,7.727883094129352,3.031741665481974,1.0,70,1,0,0,0,0,0,0,1
112,458,18,1,1,13507.555018441195,145.79995206364862,47.27315472591763,25.829429879675615,0.9351773457944756,6.420713070905695,1.7636548880972716,0.0,458,1,0,0,0,0,0,3,1
113,102,0,1,2,11817.346131398737,197.90178389613902,55.02921245217475,-1.7479159509711018,3.9083146735366436,3.3740847955654862,5.875893204409707,1.0,102,4,19,32,0,2,8,0,1
114,5,0,1,2,13274.951631152848,135.34824019239664,65.36797175586362,18.436259217490964,6.715290779325017,8.879461144193115,3.2749084730243334,1.0,5,2,1,1,0,0,0,1,1
115,47,6,1,1,14696.871824842407,60.29790489140953,66.3027348780194,-1.2737700991368541,8.310710451869783,5.707198691724448,7.176091241731833,1.0,47,1,0,0,0,0,0,4,1
116,87,3,1,2,14584.76567431281,79.31955332181683,45.382820207862466,27.456259023704817,2.6354815755586634,4.936539702748267,2.929519019501221,0.0,87,3,0,0,0,0,0,12,1
117,399,9,1,2,7475.081674310092,114.34445871151945,66.22143698760146,28.756422801753587,6.910017958489199,2.1183683692920585,5.3775899541985845,0.0,399,2,7,7,0,0,0,7,1
118,264,16,1,1,14982.170177126402,64.79877605764273,34.84569451610569,6.233881350868188,8.70694925702817,3.1667340200595833,1.8722446614100008,0.0,264,1,0,0,0,0,0,1,1
119,412,1,1,3,66094.01627952716,4.535905970207457,1.4506476801859636,29.851568102442805,4.966454809198572,10.806881475829343,1.9566590594894557,1.0,412,1,71,80,1,2,8,4,0
120,0,1,1,3,73832.46327525069,63.06280796896603,53.88396730528078,17.18002989640479,12.425902533695734,18.736258028992317,6.757384516793808,0.0,0,1,0,0,0,0,0,0,0
121,7,1,1,7,62797.5091539255,44.70565550816336,20.174349027188853,28.514180400846392,13.42236069730709,9.46937478312319,8.30028829531297,1.0,7,3,3,3,0,0,0,6,0
122,0,1,1,7,54221.89988508942,0.20757984946625063,5.955500062789014,-11.142232733963546,11.95290090088477,9.137960777022048,6.300131589745344,0.0,0,1,0,0,0,0,0,0,0
123,0,1,1,7,19814.273419203433,57.12818291184186,56.768231442068085,1.2624221410251515,14.691962267658251,10.012643343098356,5.538691124915876,0.0,0,2,0,0,0,0,0,0,0
124,0,1,1,7,8829.36602046852,30.611523989058743,58.43506503526205,17.40958267721276,13.290000022699656,19.47453269113131,7.205647334663764,0.0,0,1,0,0,0,0,0,0,0
125,721,3,1,5,7621.141000881489,153.2018282696125,67.14251536953984,20.81905592204656,2.7795367442498273,3.1741579240410145,1.4546615997303949,1.0,721,3,1,1,0,0,0,3,1
126,57,3,1,5,5279.759290374974,153.82016384244082,75.1258775199809,28.877257678078365,6.775842248480334,4.066244748478026,2.676714833578963,0.0,57,1,0,0,0,0,0,1,1
127,1440,5,1,2,14434.565779565954,136.71817311720665,70.92106553023015,20.612407473293565,1.065251073207295,6.044764027495926,1.0294712524665506,0.0,1440,1,2,2,0,0,0,4,1
128,264,5,1,2,7116.208312022344,26.260081443563017,35.136240249416645,4.637566831771615,0.520823690353972,6.453098122140433,5.355139308422918,0.0,264,1,3,3,0,0,2,2,1
129,157,7,1,2,10541.25714290799,133.4566704733295,62.80734108622054,16.550799075245116,3.1307568517672415,3.711051964299684,6.877262570030269,1.0,157,1,6,6,0,0,0,3,1
130,405,7,1,2,10774.567759888672,66.15336860341074,39.5917789799384,22.626542361652724,4.477529800406223,6.8378661161118135,7.259530990041364,0.0,405,3,9,11,0,0,2,6,1
131,568,0,1,1,38874.68593618092,64.80184195371814,59.42765521426523,29.335228698229066,3.377079683457244,15.90098645757201,8.58551232520799,1.0,568,3,29,31,0,1,7,7,0
132,34,4,1,1,8765.60645518488,45.30796263283269,76.12998057379309,21.55060015691393,0.7754739478321793,5.002128813150251,1.0288939339692977,0.0,34,1,0,0,0,0,0,1,1
133,223,1,1,2,14748.637062183358,27.51075643394406,84.28627796536935,-2.834249614502178,2.5471102794634493,2.908813373552087,6.565932195227924,0.0,223,11,2,2,21,0,2,4,1
134,67,0,1,1,92908.3980753329,21.766472489237366,30.13835330830733,15.218642392783025,8.755884597182444,13.030531318883913,3.665020972670113,0.0,67,1,0,0,0,0,0,0,0
135,188,6,1,2,7548.253065049832,75.44740802325,56.116946745389214,-5.731889254447684,9.006694985679124,8.246875011068491,1.8386665998307028,0.0,188,1,0,0,0,0,0,0,1
136,1222,4,1,3,11973.605830744691,22.55846377353279,69.52810481638238,18.218721714481646,0.2385482785973625,3.825086137049248,3.4118576118084887,1.0,1222,2,0,0,0,0,0,3,1
137,229,4,1,3,5205.433666827323,77.22525383990603,88.35005476654538,10.603883265566118,5.293406946834746,8.073023078028891,1.6451055591822297,0.0,229,2,0,0,0,0,0,0,1
138,5,4,1,3,5712.390172491233,126.2679440406792,73.50899964536613,10.401629164302115,1.582518746549404,3.512970070846009,7.55093351963755,0.0,5,1,0,0,0,0,0,0,1
139,463,9,1,2,6878.6334947315045,192.3530362639646,68.57151452545011,8.044716047373413,5.7661624333361114,3.2376812666139494,3.4263658620714192,0.0,463,2,1,1,1,0,0,12,1
140,12,9,1,2,7881.887112344552,20.424935841824553,88.26933711311577,-5.904771541109901,2.983205291083124,2.7995748672997087,6.601786274305902,0.0,12,6,2,3,0,0,1,0,1
141,203,-1,1,2,28456.20698626431,31.960994846861542,36.91467076116583,-2.4560480376825993,13.499121259414096,3.5128078118183703,4.477907248824577,1.0,203,3,1,1,0,0,0,4,0
142,4,-1,1,2,29851.78746433178,16.272870760751267,30.009007604114405,-10.998508356048196,12.469875429497044,11.793498592124502,10.05947716170067,0.0,4,1,0,0,0,0,0,1,0
143,39,-1,1,1,42999.087305812,20.446394583592713,32.9514612477203,-19.6872890609314,8.021883223811246,11.678897785271868,1.9821067721267809,0.0,39,1,0,0,0,0,0,1,0
144,41,2,1,1,16957.95786805353,10.678711262231012,6.520775060541009,25.847898708781756,7.614168326458794,18.03084632274703,11.355344358374586,1.0,41,1,0,0,0,0,0,3,0
145,28,9,0,1,82866.95639329658,15.092351341847634,47.86470492735522,14.640782484449758,10.761430026865403,15.960803983425638,10.39610334757676,0.0,28,1,6,6,0,0,0,6,0
146,227,13,1,1,6559.359657638285,46.77516357782897,56.35640951145842,23.10921122994509,1.4064030320431409,4.983300569054859,5.769950163169138,0.0,227,4,1,1,0,1,1,0,1
147,29,3,0,1,82697.86620395629,4.685634063167282,3.142060437655687,-8.297928234294703,12.940436397656612,9.837071529833306,8.902198670264598,0.0,29,1,0,0,0,0,0,0,0
148,2,1,1,2,7580.197990424353,50.2913273930136,67.3107099349839,22.356722730602073,6.639977204119542,7.938319657795012,5.319367498339342,1.0,2,1,3,3,0,0,1,0,1
149,2,1,1,2,14151.467904451918,76.76950400553055,70.08055877330142,25.751860689045508,0.8455380628659825,7.561286562814149,7.218883019981743,0.0,2,1,3,3,0,0,1,0,1
150,10,2,1,5,51265.579820646344,37.294623346335015,18.969788640683095,-17.686968852913886,12.929110643872484,15.363197453462666,9.061891004192498,1.0,10,2,0,0,0,0,0,0,0
151,9,2,1,5,23691.017532027083,68.91589982585332,51.77633449555094,11.497927881625863,10.768152628453711,8.590131441340862,9.068626411188966,1.0,9,1,0,0,0,0,0,1,0
